epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.656,2.47381,4.50273,1.99952,0.79656,0.06,0.07079,0.06008,2.90789,4.76244,2.6002,6.67e-06,6.67e-06,6.67e-06
2,249.972,2.2725,4.24884,1.93166,0.89417,0.06,0.07365,0.06237,2.70926,4.82483,2.48671,1.98119e-05,1.98119e-05,1.98119e-05
3,360.562,2.08721,3.91993,1.82293,0.96796,0.06,0.09083,0.07519,2.38964,5.38238,2.2886,3.26897e-05,3.26897e-05,3.26897e-05
4,505.02,1.98461,3.60725,1.73506,0.93984,0.06,0.09329,0.07096,2.23574,6.47326,2.18923,4.53033e-05,4.53033e-05,4.53033e-05
5,676.276,1.89594,3.19425,1.66605,0.64268,0.1,0.0798,0.05164,2.17402,6.80716,2.06753,5.76528e-05,5.76528e-05,5.76528e-05
6,838.354,1.74116,2.72743,1.51507,0.5934,0.06,0.05777,0.02713,2.0833,7.54517,1.93065,6.97382e-05,6.97382e-05,6.97382e-05
7,997.294,1.72296,2.48735,1.54334,0.60753,0.06,0.07325,0.03705,1.97317,8.6932,1.8411,8.15594e-05,8.15594e-05,8.15594e-05
8,1168.39,1.5358,2.37201,1.42685,0.69343,0.17824,0.19562,0.12731,1.90365,8.55377,1.8285,9.31165e-05,9.31165e-05,9.31165e-05
9,1295.54,1.64141,2.35941,1.48681,0.28072,0.1978,0.15941,0.10447,1.87552,8.55981,1.79345,0.00010441,0.00010441,0.00010441
10,1422.91,1.64975,2.18785,1.45853,0.29429,0.36,0.22559,0.14744,1.86735,8.22261,1.77928,0.000115438,0.000115438,0.000115438
11,1555.08,1.52978,2.22705,1.47168,0.31511,0.34935,0.23557,0.16061,1.80506,7.6569,1.72793,0.000126203,0.000126203,0.000126203
12,1681.38,1.49398,2.10648,1.39119,0.34397,0.43873,0.26701,0.16629,1.85113,7.77631,1.76256,0.000136704,0.000136704,0.000136704
13,1812.21,1.52548,1.92649,1.42632,0.41989,0.47859,0.32355,0.20367,1.83186,7.87497,1.76475,0.00014694,0.00014694,0.00014694
14,1945.37,1.52453,1.87799,1.36157,0.35535,0.4217,0.36614,0.21001,1.79741,7.53048,1.7504,0.000156912,0.000156912,0.000156912
15,2091,1.42201,1.80329,1.31165,0.42687,0.4816,0.40945,0.23448,1.81191,6.70507,1.74569,0.000166621,0.000166621,0.000166621
16,2225.35,1.44404,1.8904,1.35906,0.35036,0.35672,0.31567,0.1651,1.7575,5.23218,1.71481,0.000176065,0.000176065,0.000176065
17,2361.86,1.32818,1.75598,1.29735,0.36573,0.55195,0.46508,0.24804,1.75756,4.26879,1.71443,0.000185245,0.000185245,0.000185245
