epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1383,1.70642,5.60357,1.88843,0.72649,0.125,0.08101,0.03227,1.71109,6.6028,2.17582,6.668e-05,6.668e-05,6.668e-05
2,65.1439,1.41322,5.1759,1.6995,0.69853,0.1875,0.26811,0.18345,1.369,5.06086,1.93309,0.000147059,0.000147059,0.000147059
3,91.2894,1.38624,3.91162,1.6669,0.76141,0.38899,0.43779,0.25042,1.30024,4.56648,1.8258,0.000224138,0.000224138,0.000224138
4,118.929,1.37618,3.89385,1.6445,0.64866,0.47297,0.43414,0.27508,0.96681,4.93857,1.40218,0.000297916,0.000297916,0.000297916
5,146.426,1.13506,3.04365,1.39692,0.91923,0.36538,0.57509,0.36628,0.95667,4.7493,1.35343,0.000368394,0.000368394,0.000368394
6,172.293,1.06938,3.13057,1.38623,0.90002,0.51187,0.73802,0.54089,1.10169,5.06284,1.37215,0.00043557,0.00043557,0.00043557
7,200.172,1.05503,2.9476,1.32364,0.86793,0.62483,0.70161,0.54297,1.16695,3.88268,1.39455,0.000499447,0.000499447,0.000499447
8,226.192,1.32979,3.60703,1.60645,0.86793,0.62483,0.70161,0.54297,1.16695,3.88268,1.39455,0.000560022,0.000560022,0.000560022
9,252.226,0.94042,2.39063,1.25637,0.743,0.47222,0.5877,0.42485,1.25972,3.87014,1.54492,0.000617297,0.000617297,0.000617297
10,282.107,1.23693,2.7134,1.43911,0.40963,0.66071,0.57179,0.33582,1.58378,4.08214,1.8568,0.000671271,0.000671271,0.000671271
11,312.089,1.06161,2.45251,1.27809,0.40963,0.66071,0.57179,0.33582,1.58378,4.08214,1.8568,0.000721944,0.000721944,0.000721944
12,337.402,1.19639,2.66658,1.37111,0.75401,0.44132,0.53622,0.30342,1.5769,4.1916,1.68214,0.000769317,0.000769317,0.000769317
13,374.086,1.4147,2.5074,1.54779,0.52196,0.40278,0.48709,0.26228,1.5769,4.1916,1.68214,0.000813389,0.000813389,0.000813389
14,413.277,1.14056,2.45063,1.35642,0.75401,0.44132,0.53622,0.30342,1.5769,4.1916,1.68214,0.000854161,0.000854161,0.000854161
15,460.282,1.16877,2.64579,1.34284,0.80997,0.40825,0.50496,0.30293,1.71184,4.58145,1.97245,0.000891632,0.000891632,0.000891632
16,489.479,1.1531,2.71035,1.46513,0.80997,0.40825,0.50496,0.30293,1.71184,4.58145,1.97245,0.000925802,0.000925802,0.000925802
17,522.639,1.17709,2.48043,1.41663,0.80997,0.40825,0.50496,0.30293,1.71184,4.58145,1.97245,0.000956671,0.000956671,0.000956671
18,552.499,1.01948,1.79942,1.17933,0.57121,0.68089,0.62804,0.42666,1.37253,3.09252,1.51963,0.00098424,0.00098424,0.00098424
19,579.452,0.95787,1.72091,1.24044,0.57121,0.68089,0.62804,0.42666,1.37253,3.09252,1.51963,0.00100851,0.00100851,0.00100851
20,607.981,1.15802,1.85948,1.28834,0.57121,0.68089,0.62804,0.42666,1.37253,3.09252,1.51963,0.00102948,0.00102948,0.00102948
21,635.022,1.19726,1.90077,1.3103,0.70349,0.55312,0.68568,0.47844,1.24831,3.00002,1.43791,0.00100687,0.00100687,0.00100687
22,666.455,1.08707,1.80684,1.3175,0.70349,0.55312,0.68568,0.47844,1.24831,3.00002,1.43791,0.000973861,0.000973861,0.000973861
23,704.012,1.26519,2.42642,1.44275,0.70349,0.55312,0.68568,0.47844,1.24831,3.00002,1.43791,0.000940855,0.000940855,0.000940855
24,734.895,1.32193,4.01226,1.37541,0.94192,0.46099,0.64746,0.45909,1.2471,2.42819,1.43187,0.000907848,0.000907848,0.000907848
25,763.98,1.02419,2.02448,1.20516,0.94192,0.46099,0.64746,0.45909,1.2471,2.42819,1.43187,0.000874842,0.000874842,0.000874842
